2690;C;6023;D;
2689;C;6023;D;
2688;C;6023;D;
2679;C;6023;D;
2676;C;6023;D;
2819;C;6024;D;
2817;C;6024;D;
2816;C;6024;D;
2815;C;6024;D;
2812;C;6024;D;
2732;C;6025;D;
2746;C;6027;D;
2745;C;6027;D;
2744;C;6027;D;
2743;C;6027;D;
2742;C;6027;D;
2741;C;6027;D;
2740;C;6027;D;
2739;C;6027;D;
2738;C;6027;D;
2737;C;6027;D;
2747;C;6028;D;
6003;D;5003;S;
6004;D;5004;S;
6005;D;5005;S;
6006;D;5006;S;
6007;D;5006;S;
6009;D;5007;S;
6010;D;5007;S;
6011;D;5007;S;
6012;D;5007;S;
6014;D;5007;S;
6015;D;5008;S;
6016;D;5008;S;
6017;D;5009;S;
6018;D;5009;S;
6019;D;5016;S;
6020;D;5010;S;
6021;D;5010;S;
6022;D;5011;S;
6023;D;5011;S;
6024;D;5012;S;
6025;D;5013;S;
6027;D;5014;S;
6028;D;5015;S;
2508;C;4021;Q;
2519;C;4031;Q;
2531;C;4041;Q;
2530;C;4041;Q;
2529;C;4041;Q;
2528;C;4041;Q;
2527;C;4041;Q;
2526;C;4041;Q;
2535;C;4042;Q;
2534;C;4042;Q;
2533;C;4042;Q;
2532;C;4042;Q;
2540;C;4043;Q;
2539;C;4043;Q;
2538;C;4043;Q;
2537;C;4043;Q;
2536;C;4043;Q;
2545;C;4051;Q;
2543;C;4051;Q;
2541;C;4051;Q;
2562;C;4055;Q;
2565;C;4056;Q;
2576;C;4058;Q;
2575;C;4058;Q;
2589;C;4061;Q;
2586;C;4061;Q;
2579;C;4061;Q;
2601;C;4062;Q;
2611;C;4063;Q;
2606;C;4063;Q;
2602;C;4063;Q;
2614;C;4071;Q;
2612;C;4071;Q;
2634;C;4074;Q;
2651;C;4081;Q;
2649;C;4081;Q;
2648;C;4081;Q;
2647;C;4081;Q;
2642;C;4081;Q;
2654;C;4082;Q;
2665;C;4083;Q;
2690;C;4091;Q;
2689;C;4091;Q;
2688;C;4091;Q;
2682;C;4091;Q;
2679;C;4091;Q;
2676;C;4091;Q;
2703;C;4092;Q;
2698;C;4092;Q;
2732;C;4103;Q;
2738;C;4111;Q;
2737;C;4111;Q;
2741;C;4112;Q;
2740;C;4112;Q;
2739;C;4112;Q;
2744;C;4113;Q;
2743;C;4113;Q;
2742;C;4113;Q;
2746;C;4114;Q;
2745;C;4114;Q;
2747;C;4121;Q;
2780;C;4131;Q;
2779;C;4131;Q;
2772;C;4131;Q;
2768;C;4131;Q;
2767;C;4131;Q;
2765;C;4131;Q;
2790;C;4132;Q;
2799;C;4134;Q;
2798;C;4134;Q;
2797;C;4134;Q;
2807;C;4136;Q;
2817;C;4141;Q;
2816;C;4141;Q;
2815;C;4141;Q;
2812;C;4141;Q;
2819;C;4142;Q;
2839;C;4162;Q;
2843;C;4163;Q;
3002;R;8056;P;
3003;R;8056;P;
3004;R;8056;P;
3005;R;8056;P;
3013;R;8056;P;
3006;R;8056;P;
3007;R;8056;P;
3016;R;8056;P;
3008;R;8056;P;
3009;R;8056;P;
3014;R;8056;P;
3010;R;8056;P;
3011;R;8056;P;
3012;R;8056;P;
4021;Q;3002;R;
4031;Q;3003;R;
4041;Q;3004;R;
4042;Q;3004;R;
4043;Q;3004;R;
4051;Q;3005;R;
4055;Q;3005;R;
4056;Q;3005;R;
4058;Q;3005;R;
4061;Q;3006;R;
4062;Q;3006;R;
4063;Q;3006;R;
4071;Q;3007;R;
4074;Q;3007;R;
4081;Q;3008;R;
4082;Q;3008;R;
4083;Q;3008;R;
4091;Q;3009;R;
4092;Q;3009;R;
4103;Q;3010;R;
4111;Q;3011;R;
4112;Q;3011;R;
4113;Q;3011;R;
4114;Q;3011;R;
4121;Q;3012;R;
4131;Q;3013;R;
4132;Q;3013;R;
4134;Q;3013;R;
4136;Q;3013;R;
4141;Q;3014;R;
4142;Q;3014;R;
4162;Q;3016;R;
4163;Q;3016;R;
5003;S;3002;R;
5004;S;3003;R;
5005;S;3004;R;
5006;S;3005;R;
5007;S;3013;R;
5008;S;3006;R;
5009;S;3007;R;
5010;S;3008;R;
5011;S;3009;R;
5012;S;3014;R;
5013;S;3010;R;
5014;S;3011;R;
5015;S;3012;R;
5016;S;3016;R;
